titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media
僕の心のヤバイやつ 第2期,Boku no Kokoro no Yabai Yatsu 2nd Season,The Dangers in My Heart Season 2,2024-01-07,2024,WINTER 2024,2,13,Shin-Ei Animation,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,95769,86,86
転生したら第七王子だったので、気ままに魔術を極めます,"Tensei Shitara Dai Nana Ouji Datta node, Kimamani Majutsu wo Kiwamemasu",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,2024-04-02,2024,SPRING 2024,2,12,Tsumugi Akita Anime Lab,Action | Adventure | Fantasy,Unknown,TV,FINISHED,94307,73,73
狼と香辛料 MERCHANT MEETS THE WISE WOLF,Ookami to Koushinryou: MERCHANT MEETS THE WISE WOLF,Spice and Wolf: MERCHANT MEETS THE WISE WOLF,2024-04-02,2024,SPRING 2024,2,25,Passione,Adventure | Fantasy | Romance | Slice of Life,Seinen,TV,FINISHED,94063,79,79
黄泉のツガイ,Yomi no Tsugai,Daemons of the Shadow Realm,2026-04-04,2026,SPRING 2026,1,24,bones film,Action | Adventure | Comedy | Fantasy,Shounen,TV,RELEASING,93925,78,78
デッドマウント・デスプレイ,Dead Mount Death Play,Dead Mount Death Play,2023-04-11,2023,SPRING 2023,2,12,GEEKTOYS,Action | Fantasy | Supernatural | Thriller,Seinen,TV,FINISHED,93443,72,72
SAKAMOTO DAYS 第２クール,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS Part 2,2025-07-15,2025,SUMMER 2025,2,11,TMS Entertainment,Action | Comedy,Shounen,ONA,FINISHED,93147,79,79
ダンジョンに出会いを求めるのは間違っているだろうかⅣ 深章 厄災篇,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Yakusai-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,2023-01-05,2023,WINTER 2023,2,11,J.C.STAFF,Action | Adventure | Comedy | Fantasy | Romance,Unknown,TV,FINISHED,92226,82,82
転生したらスライムだった件 第4期,Tensei Shitara Slime Datta Ken 4th Season,That Time I Got Reincarnated as a Slime Season 4,2026-04-03,2026,SPRING 2026,1,,8-bit,Action | Adventure | Comedy | Fantasy,Unknown,TV,RELEASING,92159,81,81
WIND BREAKER Season 2,WIND BREAKER Season 2,WIND BREAKER Season 2,2025-04-04,2025,SPRING 2025,1,12,CloverWorks,Action | Comedy | Drama,Shounen,TV,FINISHED,91762,77,77
暴食のベルセルク,Boushoku no Berserk,Berserk of Gluttony,2023-10-02,2023,FALL 2023,2,12,A.C.G.T.,Action | Adventure | Drama | Fantasy | Romance,Unknown,TV,FINISHED,91618,67,67
正反対な君と僕,Seihantai na Kimi to Boku,You and I Are Polar Opposites,2026-01-11,2026,WINTER 2026,2,12,Lapin Track,Comedy | Drama | Romance | Slice of Life,Shounen,TV,FINISHED,91417,83,83
最強陰陽師の異世界転生記,Saikyou Onmyouji no Isekai Tenseiki,The Reincarnation of the Strongest Exorcist in Another World,2023-01-08,2023,WINTER 2023,1,13,Studio Blanc,Action | Adventure | Fantasy | Romance | Supernatural,Unknown,TV,FINISHED,91379,70,70
よふかしのうた Season 2,Yofukashi no Uta Season 2,Call of the Night Season 2,2025-07-04,2025,SUMMER 2025,1,12,LIDENFILMS,Comedy | Psychological | Romance | Slice of Life | Supernatural,Shounen,TV,FINISHED,90764,83,84
ウィッチウォッチ,Witch Watch,WITCH WATCH,2025-04-06,2025,SPRING 2025,2,25,Bibury Animation Studios,Comedy | Drama | Fantasy | Romance | Slice of Life | Supernatural,Shounen,TV,FINISHED,90636,72,72
Lv2からチートだった元勇者候補のまったり異世界ライフ,Lv2 Kara Cheat datta Moto Yuusha Kouho no Mattari Isekai Life,Chillin' in Another World with Level 2 Super Cheat Powers,2024-04-08,2024,SPRING 2024,1,12,J.C.STAFF,Adventure | Fantasy | Romance,Unknown,TV,FINISHED,90215,68,68
ようこそ実力至上主義の教室へ 4th Season 2年生編1学期,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season 2-nensei-hen Ichi Gakki,"Classroom of the Elite 4th Season: Second Year, First Semester",2026-04-01,2026,SPRING 2026,1,16,Lerche,Drama | Psychological,Unknown,TV,RELEASING,90034,79,79
氷属性男子とクールな同僚女子,Koori Zokusei Danshi to Cool na Douryou Joshi,The Ice Guy and His Cool Female Colleague,2023-01-03,2023,WINTER 2023,1,12,Zero-G | Liber,Comedy | Romance | Slice of Life | Supernatural,Josei,TV,FINISHED,89975,72,72
久保さんは僕を許さない,Kubo-san wa Mob wo Yurusanai,Kubo Won't Let Me Be Invisible,2023-01-10,2023,WINTER 2023,1,12,PINE JAM,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,89599,74,75
異世界失格,Isekai Shikkaku,No Longer Allowed in Another World,2024-07-09,2024,SUMMER 2024,1,12,Atelier Pontdarc,Comedy | Fantasy | Romance | Slice of Life | Supernatural,Seinen,TV,FINISHED,87187,71,71
