titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster
男女の友情は成立する？（いや、 しないっ!!）,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",Can a Boy-Girl Friendship Survive?,2025-04-04,2025,SPRING 2025,1,12.0,J.C.STAFF,Comedy | Romance,Unknown,TV,FINISHED,59816,65.0,65.0,,,,,,,,1
勇者パーティを追い出された器用貧乏,Yuusha Party wo Oidasareta Kiyou Binbou,"Jack-of-All-Trades, Party of None",2026-01-01,2026,WINTER 2026,2,12.0,animation studio42,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,59492,67.0,67.0,,,,,,,,2
夜のクラゲは泳げない,Yoru no Kurage wa Oyogenai,Jellyfish Can’t Swim in the Night,2024-04-07,2024,SPRING 2024,1,12.0,Doga Kobo,Drama | Music | Slice of Life,Unknown,TV,FINISHED,59461,76.0,76.0,,,,,,,,0
魔法使いの嫁 SEASON2,Mahoutsukai no Yome SEASON 2,The Ancient Magus' Bride Season 2,2023-04-06,2023,SPRING 2023,2,12.0,Studio Kafka,Drama | Fantasy | Romance | Slice of Life | Supernatural,Shounen,TV,FINISHED,59451,77.0,78.0,,,,,,,,0
マリッジトキシン,MARRIAGETOXIN,MARRIAGETOXIN,2026-04-07,2026,SPRING 2026,1,13.0,bones film,Action | Comedy | Drama | Romance,Shounen,TV,RELEASING,59123,75.0,75.0,,,,,,,,0
Dr.STONE SCIENCE FUTURE 3クール,Dr. STONE: SCIENCE FUTURE Part 3,Dr. STONE SCIENCE FUTURE Cour 3,2026-04-02,2026,SPRING 2026,1,13.0,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,RELEASING,59106,82.0,82.0,,,,,,,,0
青の祓魔師 島根啓明結社篇,Ao no Exorcist: Shimane Illuminati-hen,Blue Exorcist -Shimane Illuminati Saga-,2024-01-07,2024,WINTER 2024,2,12.0,Studio VOLN,Action | Fantasy | Supernatural,Shounen,TV,FINISHED,59018,71.0,71.0,,,,,,,,0
終末のワルキューレⅡ,Shuumatsu no Valkyrie II,Record of Ragnarok II,2023-01-26,2023,WINTER 2023,2,10.0,Graphinica | Yumeta Company,Action | Drama | Fantasy | Supernatural,Seinen,ONA,FINISHED,58878,75.0,75.0,,,,,,,,0
聖剣学院の魔剣使い,Seiken Gakuin no Maken Tsukai,The Demon Sword Master of Excalibur Academy,2023-09-26,2023,FALL 2023,1,12.0,Passione,Fantasy | Romance,Unknown,ONA,FINISHED,58782,61.0,61.0,,,,,,,,1
小市民シリーズ,Shoushimin Series,SHOSHIMIN: How to Become Ordinary,2024-07-07,2024,SUMMER 2024,2,10.0,Lapin Track,Mystery | Slice of Life,Unknown,TV,FINISHED,58774,74.0,74.0,,,,,,,,0
英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～,"Eiyuu-ou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Reborn to Master the Blade: From Hero-King to Extraordinary Squire,2023-01-10,2023,WINTER 2023,1,12.0,Studio Comet,Action | Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,58281,65.0,65.0,,,,,,,,2
るろうに剣心 －明治剣客浪漫譚－(2023),Rurouni Kenshin: Meiji Kenkaku Romantan (2023),Rurouni Kenshin (2023),2023-07-07,2023,SUMMER 2023,2,24.0,LIDENFILMS,Action | Drama | Romance,Shounen,TV,FINISHED,58075,74.0,74.0,,,,,,,,0
ハニーレモンソーダ,Honey Lemon Soda,Honey Lemon Soda,2025-01-09,2025,WINTER 2025,1,12.0,J.C.STAFF,Romance,Shoujo,TV,FINISHED,57314,70.0,71.0,,,,,,,,0
異世界はスマートフォンとともに。2,Isekai wa Smartphone to Tomo ni. 2,In Another World With My Smartphone 2,2023-04-03,2023,SPRING 2023,1,12.0,J.C.STAFF,Adventure | Comedy | Fantasy | Romance,Unknown,TV,FINISHED,57064,62.0,62.0,,,,,,,,0
ドラゴンボールDAIMA,Dragon Ball DAIMA,Dragon Ball DAIMA,2024-10-11,2024,FALL 2024,2,20.0,Unknown,Action | Adventure,Shounen,TV,FINISHED,56447,75.0,75.0,,,,,,,,0
Unnamed Memory,Unnamed Memory,Unnamed Memory,2024-04-09,2024,SPRING 2024,2,12.0,ENGI,Adventure | Fantasy | Romance,Unknown,TV,FINISHED,56140,66.0,66.0,,,,,,,,0
転生したら第七王子だったので、気ままに魔術を極めます 第2期,"Tensei Shitara Dai Nana Ouji Datta node, Kimamani Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,2025-07-10,2025,SUMMER 2025,1,12.0,Tsumugi Akita Anime Lab,Action | Adventure | Fantasy | Slice of Life,Unknown,TV,FINISHED,55972,76.0,76.0,,,,,,,,2
魔王2099,Maou 2099,DEMON LORD 2099,2024-10-13,2024,FALL 2024,1,12.0,J.C.STAFF,Action | Comedy | Drama | Fantasy | Sci-Fi,Shounen,TV,FINISHED,55820,72.0,72.0,,,,,,,,0
はたらく魔王さま！！2nd Season,Hataraku Maou-sama!! 2nd Season,The Devil is a Part-Timer! Season 2 Part 2,2023-07-13,2023,SUMMER 2023,1,12.0,Studio 3Hz,Adventure | Comedy | Fantasy | Romance | Slice of Life,Unknown,TV,FINISHED,55796,66.0,66.0,,,,,,,,0
虚構推理 Season2,Kyokou Suiri Season 2,In/Spectre 2,2023-01-09,2023,WINTER 2023,1,12.0,Brain's Base,Comedy | Mystery | Romance | Supernatural,Unknown,TV,FINISHED,55781,73.0,73.0,,,,,,,,0
真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました 2nd,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita 2nd","Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside Season 2",2024-01-07,2024,WINTER 2024,1,12.0,Studio Flad,Action | Adventure | Fantasy | Romance | Slice of Life,Unknown,TV,FINISHED,55707,68.0,68.0,,,,,,,,2
来世は他人がいい,Raise wa Tanin ga Ii,Yakuza Fiancé: Raise wa Tanin ga Ii,2024-10-07,2024,FALL 2024,1,12.0,Studio DEEN,Comedy | Drama | Romance,Seinen,TV,FINISHED,55655,71.0,71.0,,,,,,,,0
わたしの幸せな結婚 第二期,Watashi no Shiawase na Kekkon 2nd Season,My Happy Marriage Season 2,2025-01-06,2025,WINTER 2025,1,13.0,Kinema Citrus,Drama | Romance | Supernatural,Shoujo,TV,FINISHED,55651,74.0,74.0,,,,,,,,0
鴨乃橋ロンの禁断推理,Kamonohashi Ron no Kindan Suiri,Ron Kamonohashi's Forbidden Deductions,2023-10-02,2023,FALL 2023,2,13.0,diomedéa,Drama | Mystery,Shounen,TV,FINISHED,55495,74.0,74.0,,,,,,,,0
君は冥土様。,Kimi wa Meido-sama.,You are Ms. Servant,2024-10-06,2024,FALL 2024,1,12.0,Felix Film,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,55446,69.0,69.0,,,,,,,,1
勇者が死んだ！,Yuusha ga Shinda!,The Legendary Hero is Dead!,2023-04-07,2023,SPRING 2023,1,12.0,LIDENFILMS,Action | Adventure | Comedy | Ecchi | Fantasy,Unknown,TV,FINISHED,55230,63.0,64.0,,,,,,,,2
不遇職【鑑定士】が実は最強だった～奈落で鍛えた最強の【神眼】で無双する～,Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru,"Even Given the Worthless “Appraiser” Class, I’m Actually the Strongest",2025-01-09,2025,WINTER 2025,1,12.0,Okuruto Noboru,Action | Adventure | Comedy | Drama | Fantasy | Romance,Unknown,TV,FINISHED,55016,63.0,63.0,,,,,,,,0
愚かな天使は悪魔と踊る,Oroka na Tenshi wa Akuma to Odoru,The Foolish Angel Dances with the Devil,2024-01-09,2024,WINTER 2024,1,12.0,Children's Playground Entertainment,Comedy | Romance | Supernatural,Seinen,TV,FINISHED,54985,67.0,67.0,,,,,,,,1
FAIRY TAIL 100 YEARS QUEST,FAIRY TAIL: 100 YEARS QUEST,FAIRY TAIL 100 YEARS QUEST,2024-07-07,2024,SUMMER 2024,1,25.0,J.C.STAFF,Action | Adventure | Comedy | Fantasy,Shounen,TV,FINISHED,54725,75.0,75.0,,,,,,,,2
女神のカフェテラス,Megami no Café Terrace,The Café Terrace and Its Goddesses,2023-04-08,2023,SPRING 2023,2,12.0,Tezuka Productions,Comedy | Ecchi | Romance,Shounen,TV,FINISHED,54405,71.0,71.0,,,,,,,,1
THE NEW GATE,THE NEW GATE,THE NEW GATE,2024-04-14,2024,SPRING 2024,1,12.0,CLOUDHEARTS | Yokohama Animation Lab,Action | Adventure | Fantasy,Unknown,TV,FINISHED,54376,64.0,64.0,,,,,,,,2
なぜ僕の世界を誰も覚えていないのか？,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,Why Does Nobody Remember Me in This World?,2024-07-13,2024,SUMMER 2024,1,12.0,project No.9,Action | Adventure | Fantasy | Sci-Fi,Unknown,TV,FINISHED,53923,62.0,62.0,,,,,,,,2
魔王軍最強の魔術師は人間だった,Maou Gun Saikyou no Majutsushi wa Ningen datta,The Strongest Magician in the Demon Lord's Army was a Human,2024-06-26,2024,SUMMER 2024,1,12.0,studio A-CAT,Action | Adventure | Drama | Fantasy,Unknown,TV,FINISHED,53677,62.0,63.0,,,,,,,,2
この会社に好きな人がいます,Kono Kaisha ni Suki na Hito ga Imasu,I Have a Crush at Work,2025-01-06,2025,WINTER 2025,1,12.0,BLADE,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,53513,74.0,75.0,,,,,,,,0
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,"Shinjiteita Nakamatachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakamatachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!","My Gift Lvl 9999 Unlimited Gacha: Backstabbed in a Backwater Dungeon, I'm Out for Revenge!",2025-10-03,2025,FALL 2025,1,12.0,J.C.STAFF,Action | Adventure | Fantasy,Shounen,TV,FINISHED,52930,70.0,70.0,,,,,,,,2
魔法科高校の劣等生 第3シーズン,Mahouka Koukou no Rettousei 3rd Season,The Irregular at Magic High School Season 3,2024-04-05,2024,SPRING 2024,1,13.0,8-bit,Action | Sci-Fi | Supernatural,Unknown,TV,FINISHED,52925,70.0,70.0,,,,,,,,0
いずれ最強の錬金術師？,Izure Saikyou no Renkinjutsushi?,Possibly the Greatest Alchemist of All Time,2025-01-01,2025,WINTER 2025,2,12.0,Studio Comet,Adventure | Fantasy,Unknown,TV,FINISHED,52908,66.0,66.0,,,,,,,,2
鬼人幻燈抄,Kijin Gentoushou,Sword of the Demon Hunter: Kijin Gentosho,2025-03-31,2025,SPRING 2025,1,24.0,Yokohama Animation Lab,Action | Drama | Fantasy | Mystery | Slice of Life,Unknown,TV,FINISHED,52472,70.0,70.0,,,,,,,,0
花野井くんと恋の病,Hananoi-kun to Koi no Yamai,A Condition Called Love,2024-04-04,2024,SPRING 2024,1,12.0,East Fish Studio,Drama | Romance,Shoujo,TV,FINISHED,52396,66.0,66.0,,,,,,,,1
英雄教室,Eiyuu Kyoushitsu,Classroom for Heroes,2023-07-09,2023,SUMMER 2023,1,12.0,Actas,Action | Fantasy | Slice of Life,Unknown,TV,FINISHED,52338,59.0,59.0,,,,,,,,2
とんでもスキルで異世界放浪メシ2,Tondemo Skill de Isekai Hourou Meshi 2,Campfire Cooking in Another World with my Absurd Skill Season 2,2025-10-08,2025,FALL 2025,1,12.0,MAPPA,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,52127,76.0,77.0,,,,,,,,0
王様ランキング 勇気の宝箱,Ousama Ranking: Yuuki no Takarabako,Ranking of Kings: The Treasure Chest of Courage,2023-04-14,2023,SPRING 2023,1,10.0,WIT STUDIO,Action | Adventure | Drama | Fantasy,Seinen,TV,FINISHED,51966,74.0,74.0,,,,,,,,2
最凶の支援職【話術士】である俺は世界最強クランを従える,Saikyou no Shien-shoku [Wajutsushi] Dearu Ore wa Sekai Saikyou Clan wo Shitagaeru,"The Most Notorious ""Talker"" Runs the World's Greatest Clan",2024-10-01,2024,FALL 2024,1,12.0,Felix Film | GA-CREW,Action | Adventure | Comedy | Fantasy | Psychological,Seinen,ONA,FINISHED,51883,74.0,74.0,,,,,,,,2
履いてください、鷹峰さん,"Haite Kudasai, Takamine-san","Please Put Them On, Takamine-san",2025-04-02,2025,SPRING 2025,1,12.0,LIDENFILMS,Comedy | Ecchi | Romance | Slice of Life,Shounen,TV,FINISHED,51778,58.0,58.0,,,,,,,,1
レベル1だけどユニークスキルで最強です,Level 1 dakedo Unique Skill de Saikyou desu,My Unique Skill Makes Me OP even at Level 1,2023-07-08,2023,SUMMER 2023,1,12.0,Maho Film,Adventure | Fantasy,Unknown,TV,FINISHED,51735,61.0,61.0,,,,,,,,2
弱キャラ友崎くん 2nd STAGE,Jaku-Chara Tomozaki-kun 2nd STAGE,Bottom-Tier Character Tomozaki 2nd Stage,2024-01-03,2024,WINTER 2024,1,13.0,project No.9,Comedy | Drama | Romance | Slice of Life,Unknown,TV,FINISHED,51663,70.0,70.0,,,,,,,,1
結婚指輪物語,Kekkon Yubiwa Monogatari,Tales of Wedding Rings,2024-01-06,2024,WINTER 2024,2,12.0,Staple Entertainment,Adventure | Comedy | Ecchi | Fantasy | Romance,Seinen,TV,FINISHED,51417,59.0,59.0,,,,,,,,1
不滅のあなたへ Season 3,Fumetsu no Anata e Season 3,To Your Eternity Season 3,2025-10-04,2025,FALL 2025,1,22.0,Drive | Studio Massket,Adventure | Drama | Fantasy | Psychological | Supernatural,Shounen,TV,FINISHED,51301,75.0,75.0,,,,,,,,0
黒岩メダカに私の可愛いが通じない,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,Medaka Kuroiwa is Impervious to My Charms,2025-01-07,2025,WINTER 2025,2,12.0,SynergySP,Comedy | Ecchi | Romance,Shounen,TV,FINISHED,51279,64.0,64.0,,,,,,,,1
シュガーアップル・フェアリーテイル,Sugar Apple Fairy Tale,Sugar Apple Fairy Tale,2023-01-06,2023,WINTER 2023,2,12.0,J.C.STAFF,Adventure | Fantasy | Romance,Shoujo,TV,FINISHED,51049,73.0,73.0,,,,,,,,0
歴史に残る悪女になるぞ,Rekishi ni Nokoru Akujo ni Naruzo,I’ll Become a Villainess Who Goes Down in History,2024-10-01,2024,FALL 2024,1,13.0,Maho Film,Comedy | Fantasy | Romance,Josei,TV,FINISHED,50179,72.0,72.0,,,,,,,,0
ひきこまり吸血姫の悶々,Hikikomari Kyuuketsuki no Monmon,The Vexations of a Shut-In Vampire Princess,2023-10-07,2023,FALL 2023,1,12.0,project No.9,Action | Comedy | Fantasy,Unknown,TV,FINISHED,50142,70.0,70.0,,,,,,,,2
紫雲寺家の子供たち,Shiunji-ke no Kodomotachi,The Shiunji Family Children,2025-04-08,2025,SPRING 2025,1,12.0,Doga Kobo,Comedy | Romance,Seinen,TV,FINISHED,49452,70.0,70.0,,,,,,,,1
わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",There's No Freaking Way I'll Be Your Lover! Unless…,2025-07-08,2025,SUMMER 2025,2,12.0,studio MOTHER,Comedy | Romance,Unknown,TV,FINISHED,49430,76.0,76.0,,,,,,,,1
マイホームヒーロー,My Home Hero,My Home Hero,2023-04-02,2023,SPRING 2023,1,12.0,Tezuka Productions,Action | Drama | Psychological | Thriller,Seinen,TV,FINISHED,49342,68.0,68.0,,,,,,,,0
超かぐや姫！,Chou Kaguya-hime!,Cosmic Princess Kaguya!,2026-01-22,2026,WINTER 2026,1,1.0,Studio Colorido | Studio Chromato,Action | Comedy | Drama | Fantasy | Music | Sci-Fi,Unknown,ONA,FINISHED,49183,84.0,84.0,,,,,,,,0
HIGH CARD,HIGH CARD,HIGH CARD,2023-01-09,2023,WINTER 2023,2,12.0,Studio Hibari,Action | Fantasy,Unknown,TV,FINISHED,49120,71.0,71.0,,,,,,,,2
最弱テイマーはゴミ拾いの旅を始めました。,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,The Weakest Tamer Began a Journey to Pick Up Trash,2024-01-12,2024,WINTER 2024,2,12.0,Studio Massket,Adventure | Fantasy,Unknown,TV,FINISHED,49080,74.0,74.0,,,,,,,,2
バーテンダー 神のグラス,Bartender: Kami no Glass,BARTENDER Glass of God,2024-04-04,2024,SPRING 2024,1,12.0,Liber,Drama | Slice of Life,Seinen,TV,FINISHED,49017,73.0,73.0,,,,,,,,1
Aランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。,"A-Rank Party wo Ridatsu Shita Ore wa, Moto Oshiegotachi to Meikyuu Shinbu wo Mezasu.",I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,2025-01-12,2025,WINTER 2025,2,24.0,Bandai Namco Pictures,Action | Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,48928,65.0,65.0,,,,,,,,2
聖者無双 ～サラリーマン、異世界で生き残るために歩む道～,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",The Great Cleric,2023-07-07,2023,SUMMER 2023,1,12.0,Yokohama Animation Lab | CLOUDHEARTS,Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,48896,70.0,70.0,,,,,,,,2
うちの会社の小さい先輩の話,Uchi no Kaisha no Chiisai Senpai no Hanashi,My Tiny Senpai,2023-07-02,2023,SUMMER 2023,1,12.0,project No.9,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,48873,67.0,67.0,,,,,,,,1
異修羅,Ishura,ISHURA,2024-01-03,2024,WINTER 2024,2,12.0,Passione,Action | Drama | Fantasy,Unknown,TV,FINISHED,48607,65.0,65.0,,,,,,,,2
異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,2025-07-06,2025,SUMMER 2025,1,13.0,Maho Film,Action | Adventure | Comedy | Drama | Fantasy | Romance,Seinen,TV,FINISHED,48545,66.0,66.0,,,,,,,,2
じいさんばあさん若返る,Jii-san Baa-san Wakagaeru,Grandpa and Grandma Turn Young Again,2024-04-07,2024,SPRING 2024,1,11.0,Gekkou,Comedy | Fantasy | Romance | Slice of Life,Seinen,TV,FINISHED,48172,71.0,71.0,,,,,,,,1
メタリックルージュ,Metallic Rouge,Metallic Rouge,2024-01-11,2024,WINTER 2024,1,13.0,bones,Action | Mystery | Sci-Fi,Unknown,TV,FINISHED,47408,59.0,59.0,,,,,,,,3
オタクに優しいギャルはいない!?,Otaku ni Yasashii Gal wa Inai!?,Gals Can't Be Kind to Otaku!?,2026-04-08,2026,SPRING 2026,1,12.0,TMS Entertainment,Comedy | Romance,Seinen,TV,RELEASING,46846,75.0,76.0,,,,,,,,1
甘神さんちの縁結び,Amagami-san Chi no Enmusubi,Tying the Knot with an Amagami Sister,2024-10-02,2024,FALL 2024,1,24.0,Drive,Comedy | Drama | Ecchi | Romance | Supernatural,Shounen,TV,FINISHED,46323,73.0,73.0,,,,,,,,1
最果てのパラディン 鉄錆の山の王,Saihate no Paladin: Tetsusabi no Yama no Ou,The Faraway Paladin: The Lord of Rust Mountains,2023-10-07,2023,FALL 2023,1,12.0,OLM | Sunrise Beyond,Action | Adventure | Fantasy | Mystery | Psychological,Unknown,TV,FINISHED,45925,73.0,73.0,,,,,,,,2
スライム倒して300年、知らないうちにレベルMAXになってました ～そのに～,"Slime Taoshite 300-nen, Shiranai Uchi ni Level MAX ni Nattemashita: Sono ni",I've Been Killing Slimes For 300 Years And Maxed Out My Level Season 2,2025-04-05,2025,SPRING 2025,1,12.0,Teddy,Comedy | Fantasy | Slice of Life,Unknown,TV,FINISHED,45902,67.0,67.0,,,,,,,,1
SANDA,SANDA,SANDA,2025-10-04,2025,FALL 2025,1,12.0,Science SARU,Drama | Mystery,Shounen,TV,FINISHED,45492,74.0,75.0,,,,,,,,1
友達の妹が俺にだけウザい,Tomodachi no Imouto ga Ore ni dake Uzai,My Friend's Little Sister Has It In for Me!,2025-10-05,2025,FALL 2025,1,12.0,BLADE,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,45197,64.0,65.0,,,,,,,,1
デッドマウント・デスプレイ 第2クール,Dead Mount Death Play Part 2,Dead Mount Death Play Part 2,2023-10-10,2023,FALL 2023,1,12.0,GEEKTOYS,Action | Fantasy | Supernatural | Thriller,Seinen,TV,FINISHED,45157,74.0,74.0,,,,,,,,2
死亡遊戯で飯を食う。,Shibou Yuugi de Meshi wo Kuu.,SHIBOYUGI: Playing Death Games to Put Food on the Table,2026-01-07,2026,WINTER 2026,1,11.0,Studio DEEN,Action | Drama | Mystery | Thriller,Unknown,TV,FINISHED,45068,71.0,71.0,,,,,,,,0
犬になったら好きな人に拾われた。,Inu ni Nattara Suki na Hito ni Hirowareta.,My Life as Inukai-san’s Dog,2023-01-06,2023,WINTER 2023,1,12.0,Quad,Comedy | Ecchi | Romance | Supernatural,Shounen,TV_SHORT,FINISHED,44914,46.0,46.0,,,,,,,,3
デート・ア・ライブV,Date A Live V,Date A Live V,2024-04-10,2024,SPRING 2024,1,12.0,GEEKTOYS,Action | Fantasy | Mecha | Romance | Sci-Fi,Unknown,TV,FINISHED,44783,76.0,76.0,,,,,,,,0
魔都精兵のスレイブ2,Mato Seihei no Slave 2,Chained Soldier Season 2,2026-01-08,2026,WINTER 2026,1,12.0,Passione | Hayabusa Film,Action | Adventure | Drama | Ecchi | Fantasy | Romance,Shounen,TV,FINISHED,44634,74.0,74.0,,,,,,,,2
君に届け 3RD SEASON,Kimi ni Todoke 3RD SEASON,Kimi ni Todoke: From Me to You Season 3,2024-08-01,2024,SUMMER 2024,1,5.0,Production I.G,Comedy | Drama | Romance | Slice of Life,Shoujo,ONA,FINISHED,44626,84.0,84.0,,,,,,,,0
帝乃三姉妹は案外、チョロい。,"Mikadono Sanshimai wa Angai, Choroi.",Dealing with Mikadono Sisters Is a Breeze,2025-07-10,2025,SUMMER 2025,1,12.0,P.A.WORKS,Comedy | Romance,Shounen,TV,FINISHED,44612,76.0,76.0,,,,,,,,1
婚約破棄された令嬢を拾った俺が、イケナイことを教え込む,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,2023-10-04,2023,FALL 2023,1,12.0,Zero-G | Digital Network Animation,Comedy | Fantasy | Romance | Slice of Life,Shoujo,TV,FINISHED,44486,69.0,70.0,,,,,,,,1
結婚するって、本当ですか,"Kekkon Suru tte, Hontou desu ka",365 Days to the Wedding,2024-10-03,2024,FALL 2024,1,12.0,Ashi Productions,Romance | Slice of Life,Seinen,TV,FINISHED,44483,70.0,70.0,,,,,,,,1
転生貴族、鑑定スキルで成り上がる 第2期,"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season","As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World Season 2",2024-09-29,2024,FALL 2024,2,12.0,studio MOTHER,Adventure | Fantasy,Unknown,TV,FINISHED,44212,74.0,74.0,,,,,,,,2
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,The Most Heretical Last Boss Queen: From Villainess to Savior,2023-07-07,2023,SUMMER 2023,2,12.0,OLM,Comedy | Fantasy | Romance,Josei,TV,FINISHED,44184,69.0,69.0,,,,,,,,1
氷の城壁,Koori no Jouheki,The Ramparts of Ice,2026-04-02,2026,SPRING 2026,1,,Studio KAI,Comedy | Romance | Slice of Life,Shoujo,TV,RELEASING,44177,78.0,78.0,,,,,,,,1
ささやくように恋を唄う,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,2024-04-14,2024,SPRING 2024,1,12.0,CLOUDHEARTS | Yokohama Animation Lab,Drama | Music | Romance,Unknown,TV,FINISHED,44003,64.0,64.0,,,,,,,,1
CITY THE ANIMATION,CITY THE ANIMATION,CITY THE ANIMATION,2025-07-07,2025,SUMMER 2025,1,13.0,Kyoto Animation,Comedy | Slice of Life,Seinen,TV,FINISHED,43806,80.0,80.0,,,,,,,,1
サラリーマンが異世界に行ったら四天王になった話,Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,Headhunted to Another World: From Salaryman to Big Four!,2025-01-01,2025,WINTER 2025,1,12.0,GEEKTOYS | CompTown,Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,43655,65.0,65.0,,,,,,,,2
Helck,Helck,Helck,2023-07-12,2023,SUMMER 2023,1,24.0,Satelight,Action | Adventure | Comedy | Drama | Fantasy,Shounen,TV,FINISHED,43508,71.0,71.0,,,,,,,,2
てんぷる,Temple,TenPuru,2023-07-09,2023,SUMMER 2023,1,12.0,Gekkou,Comedy | Drama | Ecchi | Romance | Slice of Life,Seinen,TV,FINISHED,43314,65.0,65.0,,,,,,,,1
違国日記,Ikoku Nikki,Journal with Witch,2026-01-05,2026,WINTER 2026,1,13.0,Shuka,Drama | Slice of Life,Josei,TV,FINISHED,43207,87.0,87.0,,,,,,,,0
神達に拾われた男２,Kamitachi ni Hirowareta Otoko 2,By the Grace of the Gods 2,2023-01-08,2023,WINTER 2023,1,12.0,Maho Film,Adventure | Fantasy | Slice of Life,Unknown,TV,FINISHED,43099,68.0,68.0,,,,,,,,2
カノジョも彼女 Season 2,Kanojo mo Kanojo Season 2,"Girlfriend, Girlfriend Season 2",2023-10-07,2023,FALL 2023,1,12.0,SynergySP,Comedy | Ecchi | Romance | Slice of Life,Shounen,TV,FINISHED,42748,69.0,69.0,,,,,,,,1
機動戦士ガンダム 水星の魔女 Season2,Kidou Senshi Gundam: Suisei no Majo Season 2,Mobile Suit Gundam: The Witch from Mercury Season 2,2023-04-09,2023,SPRING 2023,1,12.0,Sunrise,Action | Drama | Mecha | Sci-Fi,Unknown,TV,FINISHED,42265,78.0,78.0,,,,,,,,0
ウマ娘 シンデレラグレイ,Uma Musume: Cinderella Gray,Umamusume: Cinderella Gray,2025-04-06,2025,SPRING 2025,2,13.0,CygamesPictures,Drama | Sports,Seinen,TV,FINISHED,42246,85.0,85.0,,,,,,,,0
野生のラスボスが現れた！,Yasei no Last Boss ga Arawareta!,A Wild Last Boss Appeared!,2025-09-27,2025,FALL 2025,2,12.0,WAO World,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,42183,74.0,74.0,,,,,,,,2
異世界ワンターンキル姉さん ～姉同伴の異世界生活はじめました～,Isekai One Turn Kill Nee-san: Ane Douhan no Isekai Seikatsu Hajimemashita,My One-Hit Kill Sister,2023-04-07,2023,SPRING 2023,1,12.0,Gekkou,Comedy | Fantasy | Romance,Unknown,TV,FINISHED,42021,60.0,60.0,,,,,,,,1
勇者パーティーにかわいい子がいたので、告白してみた。,"Yuusha Party ni Kawaii Ko ga Ita no de, Kokuhaku Shitemita.","There was a Cute Girl in the Hero’s Party, so I Tried Confessing to Her",2026-01-06,2026,WINTER 2026,1,13.0,Gekkou,Adventure | Comedy | Fantasy | Romance,Unknown,TV,FINISHED,41895,62.0,62.0,,,,,,,,1
